n_e_cm3,R_Te15800,R_Te17300,R_Te18800
3.235936569296282705e+00,1.497517942026053150e-01,1.278626906532829566e-01,1.120154125884156582e-01
3.311311214825911176e+00,1.497180794048714181e-01,1.278347961804742750e-01,1.119916604338049015e-01
3.388441561392025569e+00,1.496835934823862457e-01,1.278062633355628586e-01,1.119673644290154202e-01
3.467368504525316641e+00,1.496483191331885176e-01,1.277770777779217160e-01,1.119425123438940878e-01
3.548133892335755046e+00,1.496122386827580530e-01,1.277472248573188196e-01,1.119170916836403212e-01
3.630780547701013994e+00,1.495753340767273509e-01,1.277166896078218150e-01,1.118910896835672020e-01
3.715352290971726035e+00,1.495375868734868385e-01,1.276854567416110808e-01,1.118644933037816341e-01
3.801893963205611460e+00,1.494989782366819842e-01,1.276535106427003907e-01,1.118372892237842475e-01
3.890451449942805784e+00,1.494594889276044114e-01,1.276208353605669255e-01,1.118094638369889343e-01
3.981071705534972249e+00,1.494190992974758492e-01,1.275874146036891921e-01,1.117810032451618529e-01
4.073802778041127226e+00,1.493777892796269435e-01,1.275532317329938492e-01,1.117518932527805930e-01
4.168693834703353751e+00,1.493355383815706816e-01,1.275182697552128264e-01,1.117221193613132102e-01
4.265795188015927053e+00,1.492923256769715101e-01,1.274825113161492107e-01,1.116916667634179627e-01
4.365158322401660129e+00,1.492481297975120080e-01,1.274459386938551209e-01,1.116605203370639871e-01
4.466835921509631824e+00,1.492029289246566692e-01,1.274085337917201799e-01,1.116286646395737020e-01
4.570881896148750734e+00,1.491567007813158763e-01,1.273702781314730581e-01,1.115960839015871231e-01
4.677351412871982639e+00,1.491094226234107034e-01,1.273311528460961961e-01,1.115627620209497795e-01
4.786300923226384008e+00,1.490610712313401587e-01,1.272911386726563454e-01,1.115286825565245110e-01
4.897788193684462499e+00,1.490116229013540572e-01,1.272502159450501213e-01,1.114938287219282009e-01
5.011872336272723771e+00,1.489610534368311923e-01,1.272083645866686485e-01,1.114581833791951082e-01
5.128613839913648498e+00,1.489093381394689941e-01,1.271655641029815764e-01,1.114217290323678000e-01
5.248074602497725394e+00,1.488564518003831494e-01,1.271217935740423799e-01,1.113844478210175293e-01
5.370317963702526676e+00,1.488023686911234544e-01,1.270770316469184702e-01,1.113463215136949874e-01
